Date,Open,High,Low,Close,Adj Close,Volume,,RETURNS,Probability,PiXi,Xi-r,(Xi-r)^2,P*(Xi-r)^2,SQRT(P*(Xi-r)^2)
08-02-2023,215.399994,217.149994,214.199997,215.550003,211.838425,344109,,-0.01933576,0.401606426,-0.007765365,-0.043200012,0.001866241,0.000749494,0.027376895
09-02-2023,215.600006,216.850006,213.300003,214.550003,210.855637,279913,,-0.004639295,0.401606426,-0.001863171,-0.028503548,0.000812452,0.000326286,0.018063389
10-02-2023,214,214.5,211,211.649994,208.005569,264188,,-0.013516705,0.401606426,-0.005428395,-0.037380957,0.001397336,0.000561179,0.023689219
13-02-2023,211.199997,213.699997,209.449997,213.050003,209.38147,679084,,0.006614737,0.401606426,0.002656521,-0.017249516,0.000297546,0.000119496,0.010931437
14-02-2023,212.300003,214.25,211.100006,211.75,208.103851,505037,,-0.006101868,0.401606426,-0.002450549,-0.029966121,0.000897968,0.00036063,0.018990257
15-02-2023,211.699997,213.699997,210.350006,212.850006,209.184921,385530,,0.005194834,0.401606426,0.002086279,-0.018669419,0.000348547,0.000139979,0.011831264
16-02-2023,213.149994,216.449997,213.149994,215.5,211.789276,438374,,0.012450054,0.401606426,0.005000022,-0.011414199,0.000130284,5.23229E-05,0.007233455
17-02-2023,214.300003,218.25,214.25,217.399994,213.656555,514437,,0.008816677,0.401606426,0.003540834,-0.015047575,0.00022643,9.09356E-05,0.009536013
20-02-2023,217.399994,218.949997,216,218.199997,214.44278,172147,,0.003679867,0.401606426,0.001477858,-0.020184386,0.000407409,0.000163618,0.012791335
21-02-2023,218.350006,219.050003,213.449997,214.050003,210.364243,163669,,-0.019019221,0.401606426,-0.007638241,-0.042883474,0.001838992,0.000738551,0.027176297
22-02-2023,214.949997,215.899994,211.199997,211.800003,208.152985,351837,,-0.010511563,0.401606426,-0.004221511,-0.034375815,0.001181697,0.000474577,0.021784788
23-02-2023,212.050003,215.800003,212.050003,214.850006,211.150482,192291,,0.014400392,0.401606426,0.00578329,-0.009463861,8.95647E-05,3.59697E-05,0.005997478
24-02-2023,216,217.449997,214.800003,217.100006,213.36174,248840,,0.010472422,0.401606426,0.004205792,-0.01339183,0.000179341,7.20245E-05,0.008486728
27-02-2023,216.199997,218,215.100006,216.800003,213.066895,318646,,-0.001381865,0.401606426,-0.000554966,-0.025246118,0.000637366,0.00025597,0.015999077
28-02-2023,215.550003,216.949997,211.949997,215.149994,211.445297,221427,,-0.007610743,0.401606426,-0.003056523,-0.031474995,0.000990675,0.000397862,0.019946468
01-03-2023,215,219.050003,214.649994,218.600006,214.835907,131642,,0.01603538,0.401606426,0.006439912,-0.007828872,6.12912E-05,2.4615E-05,0.004961346
02-03-2023,218.300003,224.350006,217.5,222.850006,219.012726,418071,,0.019441902,0.401606426,0.007807993,-0.00442235,1.95572E-05,7.85429E-06,0.002802551
03-03-2023,223.25,226.25,222.5,222.899994,219.061844,458246,,0.000224312,0.401606426,9.00853E-05,-0.023639941,0.000558847,0.000224436,0.014981204
06-03-2023,222.25,225.550003,221.699997,224.850006,220.978287,167177,,0.008748372,0.401606426,0.003513402,-0.015115881,0.00022849,9.1763E-05,0.0095793
08-03-2023,224.050003,225.050003,222.649994,224.800003,220.929138,132586,,-0.000222384,0.401606426,-8.93108E-05,-0.024086637,0.000580166,0.000232998,0.015264286
09-03-2023,224.25,227,223.75,224.649994,220.781723,141230,,-0.0006673,0.401606426,-0.000267992,-0.024531553,0.000601797,0.000241686,0.01554624
10-03-2023,223.75,225.300003,221.449997,224.350006,220.486893,109799,,-0.001335357,0.401606426,-0.000536288,-0.02519961,0.00063502,0.000255028,0.015969604
13-03-2023,222.100006,225.699997,219.350006,220.699997,216.899734,316487,,-0.016269262,0.401606426,-0.00653384,-0.040133515,0.001610699,0.000646867,0.025433582
14-03-2023,222.199997,222.649994,219,221,217.19458,440742,,0.001359325,0.401606426,0.000545914,-0.022504928,0.000506472,0.000203402,0.014261919
15-03-2023,221.100006,223.199997,219.550003,219.949997,216.162643,81863,,-0.004751145,0.401606426,-0.00190809,-0.028615398,0.000818841,0.000328852,0.018134271
16-03-2023,218,222.399994,216.449997,220.75,216.948883,297200,,0.003637204,0.401606426,0.001460724,-0.020227049,0.000409134,0.000164311,0.012818371
17-03-2023,221.649994,225.899994,220.199997,222.550003,218.71788,173599,,0.008154034,0.401606426,0.003274712,-0.015710219,0.000246811,9.91209E-05,0.009955947
20-03-2023,219.149994,221.199997,215.75,217.100006,213.36174,336696,,-0.024488865,0.401606426,-0.009834886,-0.048353118,0.002338024,0.000938965,0.030642543
21-03-2023,218,218.550003,216.050003,216.949997,213.21431,170984,,-0.000690967,0.401606426,-0.000277497,-0.02455522,0.000602959,0.000242152,0.015561238
22-03-2023,217,217,213.149994,213.850006,210.167694,205336,,-0.014288965,0.401606426,-0.00573854,-0.038153218,0.001455668,0.000584606,0.02417862
23-03-2023,213.75,214.75,212.399994,213.25,209.578018,212013,,-0.002805733,0.401606426,-0.0011268,-0.026669986,0.000711288,0.000285658,0.016901417
24-03-2023,212.050003,213.75,208.100006,208.550003,204.958954,182029,,-0.022039845,0.401606426,-0.008851343,-0.045904098,0.002107186,0.00084626,0.02909054
27-03-2023,208.100006,210.199997,207.699997,208.449997,204.860672,306146,,-0.00047953,0.401606426,-0.000192582,-0.024343783,0.00059262,0.000238,0.015427246
28-03-2023,209,211.25,208.449997,208.850006,205.253784,389097,,0.001918969,0.401606426,0.00077067,-0.021945284,0.000481595,0.000193412,0.013907259
29-03-2023,209.050003,214.5,208.449997,212.850006,209.184921,201479,,0.019152501,0.401606426,0.007691768,-0.004711752,2.22006E-05,8.9159E-06,0.002985951
31-03-2023,212.199997,214.25,211.300003,213.649994,209.97113,194098,,0.003758459,0.401606426,0.001509421,-0.020105794,0.000404243,0.000162347,0.012741529
03-04-2023,213.699997,220.800003,213.699997,220.050003,216.260941,446475,,0.029955578,0.401606426,0.012030352,0.006091325,3.71042E-05,1.49013E-05,0.00386022
05-04-2023,220.050003,224.25,220.050003,222.300003,218.472198,219985,,0.010224949,0.401606426,0.004106405,-0.013639304,0.000186031,7.47111E-05,0.008643558
06-04-2023,221.25,223.100006,220.449997,221.699997,217.882523,132103,,-0.002699082,0.401606426,-0.001083969,-0.026563335,0.000705611,0.000283378,0.01683383
10-04-2023,220.100006,224.399994,220.100006,222.050003,218.226501,252167,,0.001578737,0.401606426,0.000634031,-0.022285516,0.000496644,0.000199456,0.014122872
11-04-2023,222.300003,224.199997,222.199997,223.550003,219.700668,231720,,0.006755235,0.401606426,0.002712946,-0.017109018,0.000292718,0.000117558,0.010842399
12-04-2023,223.550003,228,223.550003,227.649994,223.730057,226223,,0.018340376,0.401606426,0.007365613,-0.005523877,3.05132E-05,1.22543E-05,0.003500615
13-04-2023,227.550003,229.600006,224.600006,225.550003,221.666229,139305,,-0.009224648,0.401606426,-0.003704678,-0.033088901,0.001094875,0.000439709,0.020969239
17-04-2023,225.550003,229.850006,225.399994,229.5,225.548218,405249,,0.017512733,0.401606426,0.007033226,-0.00635152,4.03418E-05,1.62015E-05,0.004025112
18-04-2023,229.5,232.5,229.399994,232.25,228.250854,269368,,0.011982571,0.401606426,0.004812277,-0.011881682,0.000141174,5.66965E-05,0.00752971
19-04-2023,232.25,234.600006,229,230.399994,226.432709,463810,,-0.00796558,0.401606426,-0.003199028,-0.031829833,0.001013138,0.000406883,0.020171337
20-04-2023,229.550003,231.449997,229.100006,229.449997,225.499069,196796,,-0.004123251,0.401606426,-0.001655924,-0.027987504,0.0007833,0.000314578,0.01773636
21-04-2023,229.550003,230.449997,227.550003,230.050003,226.088745,113194,,0.002614975,0.401606426,0.001050191,-0.021249278,0.000451532,0.000181338,0.013466183
24-04-2023,230,232,229.5,231.399994,227.415482,201837,,0.00586825,0.401606426,0.002356727,-0.017996003,0.000323856,0.000130063,0.011404503
25-04-2023,230.050003,232.25,229.949997,230.25,226.285294,116048,,-0.004969724,0.401606426,-0.001995873,-0.028833976,0.000831398,0.000333895,0.01827279
26-04-2023,229.399994,230.550003,228,229.75,225.7939,217751,,-0.002171553,0.401606426,-0.00087211,-0.026035805,0.000677863,0.000272234,0.016499521
27-04-2023,229.5,232.399994,229.5,231.800003,227.808609,232645,,0.008922755,0.401606426,0.003583436,-0.014941498,0.000223248,8.9658E-05,0.009468789
28-04-2023,232.050003,234.649994,231.600006,233.100006,229.086227,351709,,0.005608296,0.401606426,0.002252328,-0.018255957,0.00033328,0.000133847,0.011569243
02-05-2023,233,237.399994,233,236.050003,231.985428,447348,,0.012655499,0.401606426,0.00508253,-0.011208753,0.000125636,5.04563E-05,0.007103259
03-05-2023,236.050003,238.850006,234.699997,236.75,232.67337,172008,,0.002965461,0.401606426,0.001190948,-0.020898792,0.00043676,0.000175405,0.013244071
04-05-2023,236.5,238,234.100006,237.5,233.410461,226710,,0.003167899,0.401606426,0.001272248,-0.020696354,0.000428339,0.000172024,0.013115782
05-05-2023,237.050003,237.949997,236.050003,237.350006,233.263046,252320,,-0.000631554,0.401606426,-0.000253636,-0.024495807,0.000600045,0.000240982,0.015523587
